inchi_key,canonical_smiles,name,vivo_dilirank,vivo_livertox,vivo_dailymed,vivo_pubmed,vivo_ctd,vivo_faers,vivo_chembl,vivo_marketed_clean_neg,has_dilirank,has_livertox,has_dm_boxed
XULACPAEUUWKFX-UHFFFAOYSA-N,O=[N+]([O-])c1cc(Cl)cc(-c2cc(Cl)cc([N+](=O)[O-])c2O)c1O,niclofolan,unknown,,,,,,1.0,1.0,False,False,False
MGQRRMONVLMKJL-KWJIQSIXSA-N,CO[C@@H]1[C@@H](N)[C@@H](O[C@H]2[C@H](Oc3cccc4c(O)c5c(=O)oc6ccc(C)c7c(=O)oc(c34)c5c67)O[C@H](C)[C@H](O)[C@]2(C)O)O[C@H](C)[C@@H]1O,Elsamitrucin,unknown,,,,,,1.0,1.0,False,False,False
OJSFTALXCYKKFQ-YLJYHZDGSA-N,COc1ccc(OC[C@H]2CN(C)CC[C@@H]2c2ccccc2)cc1,femoxetine,unknown,,,,,,1.0,1.0,False,False,False
UZWDCWONPYILKI-UHFFFAOYSA-N,CCN1CCN(Cc2ccc(Nc3ncc(F)c(-c4cc(F)c5nc(C)n(C(C)C)c5c4)n3)nc2)CC1,Abemaciclib,vLess-DILI-Concern,E,,,,,,,True,True,False
OGAKLTJNUQRZJU-UHFFFAOYSA-N,OC(CCCN1CCCCC1)(c1ccccc1)c1ccccc1,DIPHENIDOL,unknown,,,,,,1.0,1.0,False,False,False
DGVVWUTYPXICAM-UHFFFAOYSA-N,OCCS,2-Mercaptoethanol,unknown,,,,medium,,,1.0,False,False,False
QTBSBXVTEAMEQO-UHFFFAOYSA-N,CC(=O)O,ACETIC ACID,vNo-DILI-Concern,,,,medium,,1.0,1.0,True,False,False
FHFYDNQZQSQIAI-UHFFFAOYSA-N,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(C)CC3)cc21,pefloxacin,unknown,,,,weak,,1.0,1.0,False,False,False
RGHNJXZEOKUKBD-UHFFFAOYSA-N,O=C(O)C(O)C(O)C(O)C(O)CO,Tribulus,,E,,,medium,,,,False,True,False
MEFKEPWMEQBLKI-AIRLBKTGSA-N,C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,ademetionine,unknown,,,,,,1.0,1.0,False,False,False
