name,input,inchi_key,found,label,verdict,match,confidence,n_sources,conflict,db_name
,O=C([C@@H](C(C)(C)S[C@]1([H])[C@@H]2NC(C(C(O[Na])=O)C3=CSC=C3)=O)N1C2=O)O[Na],OHKOGUYZJXTSFX-IRHHVTTKSA-N,True,1,간독성 있음 ⚠,skeleton,med,2,True,TICARCILLIN
,O=C([C@H]([C@@]([C@H](OC)C([C@@H](O)[C@H](O)C)=O)([H])C1)O[C@@](O[C@H](C)[C@H]2O)([H])C[C@H]2O[C@@](O[C@H](C)[C@@H]3O)([H])C[C@H]3O[C@@](O[C@H](C)[C@H]4O)([H])C[C@@]4(O)C)C(C1=CC5=CC(O[C@H](O[C@H](C)[C@H]6O)C[C@H]6O[C@@](O[C@H](C)[C@H]7O)([H])C[C@H]7O)=C(C)C(O)=C85)=C8O,CFCUWKMKBJTWLW-BKHRDMLASA-N,True,0,간독성 없음,exact,med,2,False,plicamycin
,O=S(C1=NC2=CC=CC=C2N1)CC3=NC=CC(OCCCOC)=C3C,YREYEVIYCVEVJK-UHFFFAOYSA-N,True,1,간독성 있음 ⚠,exact,high,3,False,Rabeprazole sodium
,O[C@@H](CO)[C@]1([H])C(O[Na])=C(O)C(O1)=O,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,True,0,간독성 없음,exact,med,2,False,ASCORBIC ACID
,C[C@]12[C@@](CC=C3[C@]2(CC[C@]4(C)[C@@]3([H])[C@H]([C@H](C)CC4)C)C)([H])[C@@]5([C@@]([C@](C)([C@H](O)CC5)C(O)=O)([H])CC1)C,NBGQZFQREPIKMG-PONOSELZSA-N,True,1,간독성 있음 ⚠,skeleton,med,1,False,boswellic acid
,O=C(O[Na])C1=C(O)C=CC(/N=N/C2=CC(C(O[Na])=O)=C(O)C=C2)=C1,QQBDLJCYGRGAKP-FOCLMDBBSA-N,True,1,간독성 있음 ⚠,exact,no_signal,0,False,CHEMBL425
,OC[C@@H]1[C@H](O)[C@H](O)[C@@H](O)[C@H](O[C@@H]([C@H](O)[C@@H](O)C=O)[C@H](O)CO)O1,DKXNBNKWCZZMJT-JVCRWLNRSA-N,False,,not_in_db,,,,,
,C[C@@]12C[C@@H](O[C@@]13C[C@@H]([C@H]4[C@H]2C[C@@H]5C[C@H]4C(=O)O5)OC3=O)C6=COC=C6,QEANLIISUSNNDX-YHPVUIEZSA-N,True,1,간독성 있음 ⚠,skeleton,med,1,False,diosbulbin B
,O=C1C([C@H]2CC[C@H](C3=CC=C(Cl)C=C3)CC2)=C(O)C(C4=C1C=CC=C4)=O,KUCQYCKVKVOKAY-CTYIDZIISA-N,True,,vivo 라벨없음,exact,ambiguous,0,False,ATOVAQUONE
,O=C(NC/C=C\COC1=NC=CC(CN2CCCCC2)=C1)CS(CC3=CC=CO3)=O,KMZQAVXSMUKBPD-DJWKRKHSSA-N,True,0,간독성 없음,exact,med,2,False,lafutidine
