inchi_key,canonical_smiles,name,manual_label,source,reason
LQANGKSBLPMBTJ-UHFFFAOYSA-N,CCCCCC(O)C=CC1C2CC(CO2)C1CC=CCCCC(=O)O,"15-Hydroxy-11 alpha,9 alpha-(epoxymethano)prosta-5,13-dienoic Acid",,non_drug,IUPAC chemistry name
JZLQUWSWOJPCAK-UHFFFAOYSA-N,Brc1cc2c(cc1Br)Oc1cc(Br)c(Br)cc1O2,"2,3,7,8-tetrabromodibenzo-4-dioxin",,non_drug,IUPAC chemistry name
OOAHNJDZICJECC-BHWPLRMJSA-N,CCCCC(C)(C)[C@H](O)/C=C/[C@H]1[C@H](C)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,CHEMBL2104498,,non_drug,ChEMBL ID only
OQQVFCKUDYMWGV-UHFFFAOYSA-N,OCc1ccc(-c2nn(Cc3ccccc3)c3ccccc23)o1,3-(5'-hydroxymethyl-2'-furyl)-1-benzylindazole,,non_drug,IUPAC chemistry name
CFZLNRGUBAVQNO-UHFFFAOYSA-N,O=C1CCC(=O)N1c1cc(Cl)cc(Cl)c1,CHEMBL561915,,non_drug,ChEMBL ID only
FPQNRXITKTZFMF-NWDGAFQWSA-N,NC(=O)c1nnc(N[C@@H]2CCCC[C@@H]2N)nc1Nc1cccc2cc[nH]c12,CHEMBL3416026,,non_drug,ChEMBL ID only
QIXJMCNCXLOJKZ-LGUFXXKBSA-N,C/C(=C\Cc1cc(O)cc(Sc2ccccc2C(=O)O)c1O)CCCC(C)CCCC(C)CCCC(C)C,CHEMBL3922437,,non_drug,ChEMBL ID only
BJHIKXHVCXFQLS-UYFOZJQFSA-N,O=C(CO)[C@@H](O)[C@H](O)[C@H](O)CO,CHEMBL1232863,,non_drug,ChEMBL ID only
RHGJXZFAEALZIR-GSSWQMCCSA-O,CCN(CC)c1ccc2c(-c3ccccc3C(=O)NCC(=O)NCC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CC(C)C)C(=O)N[C@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(N)=O)c3ccc(=[N+](CC)CC)cc-3oc2c1,CHEMBL4855781,,non_drug,ChEMBL ID only
LAZSIJHHPMHKQI-UHFFFAOYSA-N,Cc1cnc2cc(C)c3c(nc(N)n3C)c2n1,"3,4,8-trimethylimidazo(4,5-f)quinoxalin-2-amine",,non_drug,IUPAC chemistry name
VAAUVRVFOQPIGI-TYHRLYECSA-N,CO/N=C(/C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nc(=O)c(O)nn3C)CS[C@H]12)c1csc(N)n1,CHEMBL1697718,,non_drug,ChEMBL ID only
LVSCWEDTMWAASP-UHFFFAOYSA-N,CC1=CCCC2C1(C)CCC(C)C2(C)CCC1=CC(=O)OC1O,"16-hydroxycleroda-3,13(14)-dien-15,16-olide",,non_drug,IUPAC chemistry name
NAHCWQNNENHGNH-UHFFFAOYSA-N,C/N=C(/Cc1ccc2ccccc2c1)NC,CHEMBL1192539,,non_drug,ChEMBL ID only
SWUARLUWKZWEBQ-UHFFFAOYSA-N,O=C(C=Cc1ccc(O)c(O)c1)OCCc1ccccc1,caffeic acid phenethyl ester,,non_drug,industrial/lab/non-drug chemical
HUJXGQILHAUCCV-UHFFFAOYSA-N,CNC(=O)C1OC(n2cnc3c(NCc4cccc(I)c4)ncnc32)C(O)C1O,N(6)-(3-iodobenzyl)-5'-N-methylcarboxamidoadenosine,,non_drug,IUPAC chemistry name
