inchi_key,canonical_smiles,name
MEJOVVKHFORGKW-UHFFFAOYSA-N,CC(=O)NC(C=O)C(OC(C)C(=O)NC(C)C(=O)NC(CCC(=O)O)C(N)=O)C(O)C(O)CO,Acetylmuramyl-Alanyl-Isoglutamine
XHSQDZXAVJRBMX-UHFFFAOYSA-N,OCC1OC(n2cnc3cc(Cl)c(Cl)cc32)C(O)C1O,Dichlororibofuranosylbenzimidazole
JTZZGWPIBBTYNE-UHFFFAOYSA-N,COc1cc2c(cc1OC)C1C(C)c3ccc4c(c3CN1CC2)OCO4,cavidine
SZXDNGVQRDTJSD-UHFFFAOYSA-N,CCCCCC1=CC(=Cc2[nH]c(-c3ccc[nH]3)cc2OC)N=C1C,Prodigiosin
DYCJFJRCWPVDHY-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(CSc2ncnc3c2ncn3C2OC(CO)C(O)C2O)cc1,4-nitrobenzylthioinosine
WACCDLYIHBADOZ-UHFFFAOYSA-N,COC1C=CC=CC=CCC(OC(=O)C(C)NC(=O)C2CCCCC2)C(C)C(O)C(C)=CCCc2cc(O)cc(c2)NC(=O)C1,trienomycin A
AMOGMTLMADGEOQ-UHFFFAOYSA-N,CC1C(=O)OC2C(O)C34C5OC(=O)C3(OC3OC(=O)C(O)C34C(C(C)(C)C)C5O)C12O,ginkgolide C
JPMYFOBNRRGFNO-UHFFFAOYSA-N,COc1cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc2c1,genkwanin
PRYIJAGAEJZDBO-UHFFFAOYSA-N,CC(C)CCCC(C)C1CCC2C3CC4OC45CC(O)CCC5(C)C3CCC12C,cholesterol alpha-oxide
KXGHHSIMRWPVQM-UHFFFAOYSA-N,CC1CCC=C2C(=O)CC3OOC(C)(C)C3C21C,nardosinone
AWMHMGFGCLBSAY-UHFFFAOYSA-N,C=CC(C)(C)c1cc2cc3c(cc2oc1=O)OC(C(C)(C)OC(C)=O)C3,rutamarin
LZJRNLRASBVRRX-UHFFFAOYSA-N,COc1cc2c(cc1O)CC1c3c(cc(O)c(OC)c3-2)CCN1C,boldine
VNQXSTWCDUXYEZ-UHFFFAOYSA-N,CC12CCC(C(=O)C1=O)C2(C)C,camphorquinone
WVVXBPKOIZGVNS-UHFFFAOYSA-N,CC(=O)NCCc1c(Cc2ccccc2)[nH]c2ccccc12,luzindole
OLHQOJYVQUNWPL-UHFFFAOYSA-N,CN(C)CCCSC(=N)N,Dimaprit
OQWKEEOHDMUXEO-UHFFFAOYSA-N,CCCCCC=CC(=O)CCc1ccc(O)c(OC)c1,shogaol
SEBIKDIMAPSUBY-UHFFFAOYSA-N,CC(C=CC=C(C)C(=O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)=CC=CC=C(C)C=CC=C(C)C(=O)OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O,crocin
YXHVCZZLWZYHSA-UHFFFAOYSA-N,CCCCCCC=CCCCCCCCc1cccc(O)c1C(=O)O,ginkgolic acid
CTAPFRYPJLPFDF-UHFFFAOYSA-N,c1cnoc1,Isoxazoles
DBOVHQOUSDWAPQ-UHFFFAOYSA-N,C=CC1C(OC2OC(CO)C(O)C(O)C2OC(=O)c2c(O)cc(O)cc2-c2cccc(O)c2)OC=C2C(=O)OCCC21,amarogentin
LVVKXRQZSRUVPY-UHFFFAOYSA-N,COc1cc2c(cc1O)C(Cc1ccc(O)cc1)NCC2,coclaurine
FZDZULUFHNDEDJ-UHFFFAOYSA-N,O=C(COCC(=O)Nc1c(I)cc(I)c(C(=O)O)c1I)Nc1c(I)cc(I)c(C(=O)O)c1I,ioglycamic acid
YZEUHQHUFTYLPH-UHFFFAOYSA-N,O=[N+]([O-])c1ncc[nH]1,Nitroimidazoles
OCNYGKNIVPVPPX-UHFFFAOYSA-N,COC(=O)C=Cc1ccc(O)c(O)c1,methyl caffeate
CXQGFLBVUNUQIA-UHFFFAOYSA-N,CN(C)C(=O)CCCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,clofibride
YNCMLFHHXWETLD-UHFFFAOYSA-N,Cn1c2cccc(=O)c-2nc2ccccc21,Pyocyanine
